,id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
32764,32765,0.35018699999999997,tcp,-,FIN,28,30,4776,3080,162.770175,31,29,105223.7813,68032.21875,7,7,12.958260000000001,12.056241,771.585121,20.068768,255,3721623548,3724728704,255,0.000657,0.000551,0.000106,171,103,0,0,7,0,9,1,1,4,0,0,0,5,12,0,Normal,0
28815,28816,0.046854,tcp,-,FIN,84,86,4862,77276,3606.949205,31,29,820420.875,13041021.0,7,36,0.560699,0.544741,31.613363,32.374121,255,3754008456,3783103226,255,0.000667,0.000541,0.000126,58,899,0,0,7,0,6,1,1,1,0,0,0,3,16,0,Normal,0
25423,25424,0.006034,tcp,-,FIN,22,24,1920,4312,7457.739667,31,29,2430228.75,5479615.5,6,6,0.26899999999999996,0.235565,16.700001,13.671110999999998,255,4286301340,4282436049,255,0.000771,0.000605,0.000166,87,180,0,0,10,0,3,1,1,2,0,0,0,3,3,0,Normal,0
16106,16107,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,30,2,14,14,14,30,0,0,0,15,30,0,Generic,1
21737,21738,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,27,2,22,21,21,27,0,0,0,21,27,0,Generic,1
60102,60103,1.2e-05,udp,-,INT,2,0,904,0,83333.33039,254,0,301333312.0,0.0,0,0,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,452,0,0,0,7,2,2,2,1,2,0,0,0,3,7,0,Fuzzers,1
72098,72099,0.437777,tcp,-,FIN,10,6,1526,268,34.264019,254,252,25108.67383,4093.408203,2,1,44.924667,76.392398,2255.9163829999998,104.906625,255,393128036,3914175920,255,0.131798,0.055812,0.075986,153,45,0,0,10,1,3,2,1,9,0,0,0,2,9,0,Normal,0
57104,57105,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,7,7,4,7,0,0,0,7,14,0,Generic,1
64595,64596,0.667654,tcp,-,FIN,10,8,564,354,25.462291,254,252,6086.985352000001,3714.499023,2,1,74.183778,90.040289,5619.109604,135.839438,255,2983034256,187860641,255,0.103702,0.036639,0.067063,56,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
37033,37034,0.046485000000000005,tcp,ftp-data,FIN,6,8,320,1890,279.660109,31,29,45950.30859,284650.9688,1,2,9.231,6.5727139999999995,643.966964,15.776167000000001,255,2597113534,2627076657,255,0.000603,0.000469,0.000134,53,236,0,0,6,0,8,1,1,3,0,0,0,6,6,0,Normal,0
16055,16056,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,2,25,25,25,37,0,0,0,27,37,0,Generic,1
39713,39714,0.53676,tcp,-,FIN,204,396,11826,495632,1115.955046,31,29,175408.0156,7368373.5,19,178,2.642591,1.3575110000000001,134.363838,79.368902,255,39472909,2192519265,255,0.000692,0.000539,0.000153,58,1252,0,0,14,0,10,6,1,7,0,0,0,10,9,0,Normal,0
50292,50293,0.7879689999999999,tcp,-,FIN,10,6,774,268,19.036282,254,252,7076.42041,2274.201172,2,1,84.68544399999999,142.379203,4391.889067,236.23625,255,1025927793,3289676854,255,0.177182,0.076065,0.101117,77,45,0,0,2,1,2,1,1,1,0,0,0,1,2,0,Fuzzers,1
67334,67335,1.06122,tcp,-,FIN,10,8,534,354,16.019298000000003,254,252,3626.015137,2336.932861,2,1,117.879667,129.78557,6428.255816,215.552969,255,212092380,2133986379,255,0.253983,0.15271400000000002,0.10126900000000001,53,44,0,0,4,1,1,2,1,2,0,0,0,2,2,0,Normal,0
50074,50075,0.353509,tcp,http,FIN,10,6,1042,268,42.431733,254,252,21227.18164,5069.177734000001,2,1,34.146889,51.216,1797.690625,65.332574,255,4228393355,1490711449,255,0.13311800000000001,0.09741799999999999,0.0357,104,45,1,0,1,1,1,1,1,1,0,0,1,1,3,0,Exploits,1
74567,74568,4e-06,udp,-,INT,2,0,1738,0,250000.0006,254,0,1738000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,869,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,Normal,0
5763,5764,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,9,3,0,DoS,1
53580,53581,6e-06,udp,-,INT,2,0,168,0,166666.6608,254,0,112000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,3,2,1,1,1,1,0,0,0,2,1,0,Reconnaissance,1
22182,22183,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,43,2,43,43,25,43,0,0,0,43,44,0,Generic,1
61393,61394,1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,7,7,4,7,0,0,0,9,9,0,Generic,1
15938,15939,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,17,17,17,29,0,0,0,17,29,0,Generic,1
30172,30173,0.050013,tcp,-,FIN,44,46,2766,24004,1779.5373809999999,31,29,432527.5625,3756303.5,7,16,1.155535,1.1000889999999999,69.574935,67.648413,255,245907870,2401788506,255,0.000644,0.000505,0.000139,63,522,0,0,5,0,5,1,1,1,0,0,0,2,18,0,Normal,0
47511,47512,0.201753,tcp,-,FIN,10,6,502,268,74.34833499999999,254,252,17922.9043,8882.147461,2,1,20.809778,38.809199,1156.514712,62.619488,255,2516197864,3627693868,255,0.025318,0.007696,0.017622,50,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
8613,8614,2.685712,tcp,-,FIN,58,10,65143,440,24.946829,254,252,190698.0313,1179.575439,36,1,46.842281,294.993344,7964.248222,596.859812,255,3782512439,2143416950,255,0.093763,0.030766,0.062997,1123,44,0,0,5,1,1,1,1,1,0,0,0,4,1,0,Exploits,1
39809,39810,0.160066,tcp,-,FIN,16,18,1540,1644,206.164965,31,29,72170.23438,77617.98438,4,4,10.649867,9.384294,844.9812029999999,23.241173999999997,255,754315764,780422709,255,0.000663,0.000522,0.00014099999999999998,96,91,0,0,13,0,6,5,1,5,0,0,0,12,9,0,Normal,0
34312,34313,0.107518,tcp,-,FIN,88,164,5488,192828,2334.492777,31,29,403727.75,14260161.0,10,71,1.2321950000000002,0.656509,68.096249,40.182705,255,3478648876,3482309822,255,0.0006259999999999999,0.000505,0.000121,62,1176,0,0,14,0,9,6,1,6,0,0,0,11,16,0,Normal,0
73093,73094,1.913166,tcp,-,FIN,10,8,586,354,8.885794,254,252,2207.858643,1296.28064,2,1,206.928667,257.365719,12523.72062,397.031594,255,2723474360,532118720,255,0.164951,0.111605,0.053346000000000005,59,44,0,0,5,1,1,1,1,1,0,0,0,3,1,0,Normal,0
76114,76115,0.08217100000000001,tcp,-,CON,6,2,978,86,85.18820500000001,62,252,79346.72656,4186.391602000001,2,1,16.4342,0.003,962.609102,0.0,255,2434400470,2342994424,255,0.066173,0.037067,0.029106,163,43,0,0,9,3,2,2,1,9,0,0,0,2,9,0,Normal,0
68559,68560,0.390974,tcp,-,FIN,10,6,534,268,38.365724,254,252,9842.086914,4583.425293,2,1,40.668110999999996,71.217602,2009.0592550000001,96.30866400000001,255,2138872259,2201724904,255,0.060999,0.034869,0.02613,53,45,0,0,2,1,2,1,1,2,0,0,0,2,3,0,Normal,0
37461,37462,1.006149,tcp,http,FIN,12,18,1580,10168,28.822767,31,29,11521.15625,76362.44531,3,5,91.43627099999999,59.152998,9529.825547,7675.937043999999,255,2782274568,2787437463,255,0.0006799999999999999,0.000543,0.00013700000000000002,132,565,1,3924,3,0,2,1,1,1,0,0,1,2,2,0,Normal,0
52669,52670,0.967297,tcp,pop3,FIN,20,28,962,14034,48.589005,62,252,7559.208495999999,111924.2578,7,12,50.910368,34.339259999999996,2541.715841,2050.096255,255,4182681825,3278242690,255,0.068102,0.039115,0.028987,48,501,0,0,1,1,1,1,1,1,0,0,0,4,1,0,Exploits,1
21816,21817,3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,48,2,42,42,25,48,0,0,0,42,48,0,Generic,1
58661,58662,3.5e-05,fc,-,INT,2,0,200,0,28571.42781,254,0,22857142.0,0.0,0,0,0.035,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,12,2,6,6,6,6,0,0,0,6,12,0,Exploits,1
23455,23456,0.004058,tcp,-,FIN,8,10,1056,822,4189.25562,31,29,1821586.875,1458846.625,2,2,0.528429,0.38822199999999996,33.580446,0.688347,255,1600379161,1601436916,255,0.000718,0.000559,0.00015900000000000002,132,82,0,0,13,0,4,1,1,1,0,0,0,2,5,0,Normal,0
14724,14725,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,2,25,25,25,25,0,0,0,26,25,0,Generic,1
20883,20884,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,41,2,25,25,25,41,0,0,0,25,41,0,Generic,1
3508,3509,0.269164,tcp,http,FIN,10,8,826,948,63.15852099999999,62,252,22112.91211,24668.97461,2,2,29.907110999999997,37.46743,1466.899493,53.803617,255,1786860944,3879585143,255,0.050295,0.006196,0.044099,83,119,1,35,1,1,1,1,1,1,0,0,1,2,1,0,Exploits,1
51116,51117,3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,11,2,5,4,4,5,0,0,0,8,11,0,Analysis,1
6067,6068,0.636352,tcp,-,FIN,10,8,564,354,26.714774,254,252,6386.402344,3897.214111,2,1,70.10266700000001,85.154,5421.527873,132.464109,255,4141606296,1151858353,255,0.058912,0.040271,0.018641,56,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
10393,10394,1.390254,tcp,http,FIN,14,8,7146,354,15.105153,254,252,38185.82813,1783.84668,4,1,105.108303,185.773,7417.949723999999,325.454344,255,2783423494,1137351247,255,0.153625,0.089838,0.063787,510,44,1,0,4,1,1,1,1,1,0,0,1,1,1,0,Exploits,1
78406,78407,3e-06,udp,-,INT,2,0,104,0,333333.3215,254,0,138666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,9,2,1,1,1,9,0,0,0,1,9,0,Normal,0
61356,61357,1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,7,7,3,7,0,0,0,9,9,0,Generic,1
54336,54337,2e-06,udp,dns,INT,2,0,114,0,500000.0013,254,0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,12,2,2,2,1,2,0,0,0,2,12,0,Generic,1
50828,50829,0.772044,tcp,http,FIN,12,10,1242,2634,27.200521999999996,62,252,11802.436520000001,24568.54688,3,3,70.185817,76.16278100000001,3468.90571,111.969352,255,4245659456,2902588778,255,0.155775,0.08589400000000001,0.069881,104,263,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
63463,63464,5.497667,tcp,-,FIN,58,322,2514,415651,68.938335,62,252,3595.707275,602962.6875,1,154,96.45029699999999,16.796025,5944.037209,2445.32992,255,1526336879,965779077,255,0.143019,0.10538499999999999,0.037634,43,1291,0,0,2,1,1,1,1,1,0,0,0,1,2,0,Exploits,1
70557,70558,0.885044,tcp,-,FIN,10,6,756,268,16.94831,254,252,6155.626465,2024.758179,2,1,98.338222,155.628406,5825.952028,284.399594,255,3060975153,12018049,255,0.17036700000000002,0.106177,0.06419,76,45,0,0,6,1,1,1,1,4,0,0,0,2,4,0,Normal,0
82101,82102,1.207251,tcp,-,FIN,34,12,34230,526,37.274769,254,252,220163.0,3200.660156,14,1,36.583363,102.064367,3701.6527109999997,121.70631200000001,255,525221611,4022120471,255,0.100521,0.035202,0.065319,1007,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0
21098,21099,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,43,2,43,43,25,43,0,0,0,44,43,0,Generic,1
22924,22925,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,47,2,24,24,12,47,0,0,0,24,47,0,Generic,1
57139,57140,1.1e-05,udp,dns,INT,2,0,114,0,90909.0902,254,0,41454544.0,0.0,0,0,0.011000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,4,4,4,4,0,0,0,4,14,0,Generic,1
55205,55206,4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,12,2,7,7,3,7,0,0,0,7,12,0,Generic,1
79435,79436,0.724313,tcp,-,FIN,10,6,610,268,20.709278,254,252,6063.676758,2474.068359,2,1,80.469222,123.576797,4192.880891,205.841125,255,427040582,2454818677,255,0.308896,0.10642599999999999,0.20247,61,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Normal,0
5852,5853,0.508235,tcp,-,FIN,10,6,724,268,29.513907,254,252,10262.969729999999,3525.928223,2,1,48.616778000000004,89.23279699999999,2479.403782,122.256672,255,533118774,433816081,255,0.140442,0.062062,0.07837999999999999,72,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode,1
57571,57572,1.232198,tcp,ftp,FIN,12,12,632,682,18.665831,254,252,3765.6286619999996,4064.281982,3,4,112.008183,104.42182,6308.107363,147.044453,255,3122288638,3295123201,255,0.18891,0.083549,0.105361,53,57,0,0,2,1,1,1,1,1,0,0,0,2,2,0,Fuzzers,1
2794,2795,3e-06,tcf,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0,Fuzzers,1
75446,75447,0.490562,tcp,http,FIN,10,8,808,1112,34.654132000000004,62,252,11872.09766,15867.515630000002,2,2,54.506889,54.781285,2957.205464,80.540797,255,3922528077,153344301,255,0.165766,0.084503,0.081263,81,139,1,154,4,1,2,2,2,3,0,0,4,3,3,0,Normal,0
8699,8700,8e-06,udp,-,INT,2,0,168,0,125000.0003,254,0,84000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
79942,79943,0.5226970000000001,tcp,http,FIN,10,8,832,1098,32.523624,62,252,11463.62109,14708.331059999999,2,2,57.975221999999995,66.319,2943.706165,106.062578,255,1056941738,2310223677,255,0.118933,0.058457,0.060476,83,137,1,126,5,1,2,2,2,5,0,0,4,2,5,0,Normal,0
25442,25443,0.504591,tcp,smtp,FIN,52,40,37196,3276,180.344085,31,29,578385.25,50654.88672,18,8,9.887392,12.923538,895.3932619999999,30.083451,255,4102110208,1957830899,255,0.000708,0.0005690000000000001,0.000139,715,82,0,0,1,0,3,1,1,2,0,0,0,8,1,0,Normal,0
61725,61726,0.327644,tcp,-,FIN,12,8,1378,732,57.989771,254,252,30862.76563,15651.13379,3,2,28.656637,39.895145,1459.0037849999999,54.946858999999996,255,554862111,1544118758,255,0.066608,0.048374,0.018234,115,92,0,0,9,1,2,2,1,2,0,0,0,2,8,0,Fuzzers,1
9968,9969,59.74488100000001,ospf,-,REQ,68,0,18496,0,1.121435,254,0,2440.242432,0.0,0,0,899.4870619999999,0.0,1010.9080630000001,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,6,1,1,1,1,0,0,0,1,1,0,Exploits,1
5888,5889,3e-06,udp,-,INT,2,0,168,0,333333.3215,254,0,224000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,2,1,1,0,0,0,2,1,0,Reconnaissance,1
17958,17959,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,36,36,15,36,0,0,0,37,36,0,Generic,1
9086,9087,2.888513,ospf,-,INT,82,0,5248,0,28.042109000000004,254,0,14357.55957,0.0,0,0,35.660656,0.0,38.80402,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
42082,42083,1e-05,udp,-,INT,2,0,754,0,100000.0025,254,0,301600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,377,0,0,0,4,2,1,1,1,2,0,0,0,1,2,0,Normal,0
74457,74458,0.944716,tcp,http,FIN,10,10,816,1194,20.111864999999998,62,252,6224.092772999999,9103.264648,2,2,104.96844399999999,98.997219,6233.011714,182.85956299999998,255,3717561232,1379075738,255,0.097759,0.053079999999999995,0.044679,82,119,1,152,2,1,1,1,1,2,0,0,1,2,2,0,Normal,0
42799,42800,0.921485,tcp,-,FIN,16,10,2156,556,27.130121000000003,254,252,17554.27344,4349.500977000001,4,2,6370.673188000001,10193.773000000001,798714.6479999999,30292.162,255,421369768,145382717,255,0.143129,0.10903900000000001,0.034089999999999995,135,56,0,0,6,1,3,3,2,6,0,0,0,3,6,0,Normal,0
313,314,1.189909,tcp,-,FIN,10,8,718,354,14.286807000000001,254,252,4349.912598,2084.193115,2,1,124.082889,156.742578,7045.530993,252.23359399999998,255,1875092270,2979850829,255,0.194236,0.09270199999999999,0.101534,72,44,0,0,3,1,1,1,1,3,0,0,0,1,5,0,Fuzzers,1
20088,20089,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,34,2,14,14,9,34,0,0,0,14,34,0,Generic,1
9231,9232,0.35597399999999996,tcp,http,FIN,12,22,874,23964,92.70340300000001,62,252,18023.78906,514082.5,2,9,32.361271,15.768191,2054.964546,2017.3192760000002,255,248309853,39626738,255,0.05909400000000001,0.011086,0.048007999999999995,73,1089,1,11300,1,1,7,1,1,26,0,0,1,7,1,0,Exploits,1
46936,46937,1e-05,udp,-,INT,2,0,78,0,100000.0025,254,0,31200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,9,2,2,2,2,2,0,0,0,2,8,0,Fuzzers,1
10930,10931,47.991306,ospf,-,REQ,54,0,14688,0,1.104367,254,0,2403.101807,0.0,0,0,950.841875,0.0,1150.92525,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,6,1,1,1,1,0,0,0,1,1,0,DoS,1
43839,43840,0.236616,tcp,http,FIN,10,6,508,268,63.393853,254,252,15485.00488,7573.452148,2,1,25.168000000000003,43.015801,1357.331851,74.23456999999999,255,1983650697,1211693800,255,0.07549,0.021532,0.053958000000000006,51,45,1,0,12,1,3,3,1,3,0,0,1,3,11,0,Fuzzers,1
65379,65380,0.444014,tcp,-,FIN,10,8,818,2214,38.287079999999996,62,252,13278.86035,34917.81641,2,2,49.334889000000004,50.989145,2594.6697510000004,71.56543,255,3388626607,1273822380,255,0.13581500000000002,0.073994,0.061821,82,277,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
35852,35853,0.001001,udp,dns,CON,2,2,146,178,2997.002832,31,29,583416.5625,711288.6875,0,0,0.006999999999999999,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,0,0,0,1,3,0,Normal,0
28594,28595,0.00101,udp,dns,CON,2,2,146,178,2970.297008,31,29,578217.8125,704950.5,0,0,0.01,0.005,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,5,1,1,1,0,0,0,1,3,0,Normal,0
22988,22989,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009000000000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,35,2,17,17,17,35,0,0,0,17,35,0,Generic,1
11783,11784,0.783644,tcp,http,FIN,10,8,804,354,21.693524,254,252,7391.11084,3164.702148,2,1,81.25255600000001,103.292141,5793.026922,152.775781,255,3223100826,2680680407,255,0.145101,0.060578999999999994,0.084522,80,44,1,0,2,1,1,1,1,1,0,0,1,2,1,0,Reconnaissance,1
65237,65238,0.272396,tcp,-,FIN,10,8,798,1308,62.40914,62,252,21116.31641,33627.51172,2,2,30.266221999999996,33.55457,1515.4404539999998,60.277480000000004,255,2777744586,1982786290,255,0.07714700000000001,0.016313,0.060834000000000006,80,164,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
33740,33741,0.312396,udp,-,CON,4,4,568,312,22.407458,31,29,10909.23047,5992.394531,0,0,99.017664,89.337664,140.016578,126.334055,0,0,0,0,0.0,0.0,0.0,142,78,0,0,3,0,6,1,1,3,0,0,0,3,6,0,Normal,0
54083,54084,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,4,4,4,4,0,0,0,4,7,0,Generic,1
58951,58952,2.452886,tcp,-,FIN,40,22,30975,1736,24.868664000000003,62,252,98499.47656,5407.507324,17,8,62.894515000000006,112.04404699999999,4924.363149,161.513656,255,2516754686,3214460797,255,0.163471,0.072759,0.090712,774,79,0,0,1,1,1,1,1,1,0,0,0,1,3,0,Exploits,1
17491,17492,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,28,2,10,10,10,28,0,0,0,10,28,0,Generic,1
51364,51365,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,3,3,3,3,0,0,0,3,9,0,Generic,1
43493,43494,3e-06,udp,-,INT,2,0,78,0,333333.3215,254,0,104000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,21,2,7,7,1,21,0,0,0,7,21,0,Normal,0
